UT,PY,AU
ISI:000082545700001,1999,"Kalimo, H; Viitanen, M; Amberla, K; Juvonen, V; Marttila, R; Poyhonen, M; Rinne, JO; Savontaus, ML; Tuisku, S; Winblad, B"
ISI:000082693500002,1999,"Tan, J; Town, T; Placzek, A; Kundtz, A; Yu, H; Mullan, M"
ISI:000082716800002,1999,"Andreasen, N; Minthon, L; Vanmechelen, E; Vanderstichele, H; Davidsson, P; Winblad, B; Blennow, K"
ISI:000082767900003,1999,"Froelich, S; Houlden, H; Rizzu, P; Chakraverty, S; Baker, M; Kwon, J; Nowotny, P; Isaacs, A; Nowotny, V; Wauters, E; van Baren, MJ; Oostra, BA; Hardy, J; Lannfelt, L; Goate, A; Hutton, M; Lendon, CL; Heutink, P"
ISI:000082781500003,1999,"Town, T; Abdullah, L; Crawford, F; Schinka, J; Ordorica, PI; Francis, E; Hughes, P; Duara, R; Mullan, M"
ISI:000082781500005,1999,"Town, T; Paris, D; Parker, TA; Kundtz, A; Tan, J; Duara, R; Gold, M; Crawford, F; Mullan, M"
ISI:000082857100011,1999,"Pei, JJ; Braak, E; Braak, H; Grundke-Iqbal, I; Iqbal, K; Winblad, B; Cowburn, RF"
ISI:000082936400003,1999,"King, DL; Arendash, GW; Crawford, F; Sterk, T; Menendez, J; Mullan, MJ"
ISI:000083097300008,1999,"Jonsson, L; Lindgren, P; Wimo, A; Jonsson, B; Winblad, B"
ISI:000083180400020,1999,"Andreasen, N; Minthon, L; Clarberg, A; Davidsson, P; Gottfries, J; Vanmechelen, E; Vanderstichele, H; Winblad, B; Blennow, K"
ISI:000083214200006,1999,"Tan, J; Town, T; Suo, Z; Wu, Y; Song, S; Kundtz, A; Kroeger, J; Humphrey, J; Crawford, F; Mullan, M"
ISI:000083248700003,1999,"Tang, Z; Wang, HX; Meng, C; Wu, XG; Ericsson, K; Winblad, B; Pei, JJ"
ISI:000083376300008,1999,"Jelic, V; Wahlund, LO; Almkvist, O; Johansson, SE; Shigeta, M; Winblad, B; Nordberg, A"
ISI:000083465300004,1998,"Whitehouse, PJ; Winblad, B; Shostak, D; Bhattacharjya, A; Brod, M; Brodaty, H; Dor, A; Feldman, H; Forette, F; Gauthier, S; Hay, J; Henke, C; Hill, S; Mastey, V; Neumann, P; O'Brien, B; Pugner, K; Sano, M; Sawada, T; Stone, R; Wimo, A"
ISI:000083465300005,1998,"Whitehouse, PJ; Kittner, B; Roessner, M; Rossor, M; Sano, M; Thal, G; Winblad, B"
ISI:000083635000001,1999,"Savioz, A; Leuba, G; Forsell, C; Lilius, L; Rossier, C; Saini, K; Bouras, C; Lannfelt, L"
ISI:000083635000003,1999,"Ingelson, M; Blomberg, M; Benedikz, E; Wahlund, LO; Karlsson, E; Vanmechelen, E; Lannfelt, L"
ISI:000083635000004,1999,"Mustafa, A; Lannfelt, L; Lilius, L; Islam, A; Winblad, B; Adem, A"
ISI:000083635000016,1999,"Wahlund, LO; Basun, H; Almkvist, O; Julin, P; Axelman, K; Shigeta, M; Jelic, V; Nordberg, A; Lannfelt, L"
ISI:000083700700004,1999,"Frisoni, GB; Fratiglioni, L; Fastbom, J; Viitanen, M; Winblad, B"
ISI:000083930800002,1999,"Winblad, B; Wimo, A; Mobius, HJ; Fox, JM; Fratiglioni, L"
ISI:000084134200034,1999,"Tan, J; Town, T; Saxe, M; Paris, D; Wu, YJ; Mullan, M"
ISI:000084222800012,1999,"Garcia-Jimenez, A; Cowburn, RF; Ohm, TG; Bogdanovic, N; Winblad, B; Fastbom, J"
ISI:000084255300017,1999,"Berger, AK; Fratiglioni, L; Forsell, Y; Winblad, B; Backman, L"
ISI:000084303600030,2000,"Tanii, H; Ankarcrona, M; Flood, F; Nilsberth, C; Mehta, ND; Perez-Tur, J; Winblad, B; Benedikz, E; Cowburn, RF"
ISI:000084318500065,1999,"Tan, J; Town, T; Paris, D; Mori, T; Suo, ZM; Crawford, F; Mattson, MP; Flavell, RA; Mullan, M"
ISI:000084345000008,1999,"Lilius, L; Fabre, SF; Basun, H; Forsell, C; Axelman, K; Mattila, K; Andreadis, A; Viitanen, M; Winblad, B; Fratiglioni, L; Lannfelt, L"
ISI:000084345000009,1999,"Johnston, JA; Jensen, M; Lannfelt, L; Walker, B; Williams, CH"
ISI:000084471900004,1999,"Aguero-Torres, H; Winblad, B; Fratiglioni, L"
ISI:000084471900019,1999,"Gorelick, PB; Erkinjuntti, T; Hofman, A; Rocca, WA; Skoog, I; Winblad, B"
ISI:000084486900025,1999,"Islam, A; Westman, J; Bogdanovic, N; Suliman, IA; Lindell, I; Winblad, B; Adem, A"
ISI:000084589100010,2000,"Zhu, L; Fratiglioni, L; Guo, ZC; Basun, H; Corder, EH; Winblad, B; Viitanen, M"
ISI:000084719100002,2000,"Paris, D; Town, T; Mullan, M"
ISI:000084918300012,2000,"Sennvik, K; Fastbom, J; Blomberg, M; Wahlund, LO; Winblad, B; Benedikz, E"
ISI:000084992200014,2000,"Andersen, C; Jensen, M; Lannfelt, L; Lindau, M; Wahlund, LO"
ISI:000085590600007,2000,"Worth, PF; Houlden, H; Giunti, P; Davis, MB; Wood, NW"
ISI:000085698100016,2000,"Crawford, F; Abdullah, L; Schinka, J; Suo, ZM; Gold, M; Duara, R; Mullan, M"
ISI:000085997400012,2000,"Almberg, BE; Grafstrom, M; Winblad, B"
ISI:000086197800015,2000,"Diana, A; Eriksson, C; Winblad, B; Schultzberg, M"
ISI:000086257600016,2000,"Eriksson, C; Tehranian, R; Iverfeldt, K; Winblad, B; Schultzberg, M"
ISI:000086292000012,2000,"Mattila, KM; Axelman, K; Rinne, JO; Blomberg, M; Lehtimaki, T; Laippala, P; Roytta, M; Viitanen, M; Wahlund, LO; Winblad, B; Lannfelt, L"
ISI:000086336300007,2000,"Bogdanovic, N; Davidsson, P; Volkmann, I; Winblad, B; Blennow, K"
ISI:000086557800562,2000,"Harwood, DG; Barker, WW; Aguero, H; Bravo, M; Hurwitz, D; Saunders, S; Duron, J; Mullan, M; Duara, R"
